Sample	Location	Condition	Tank	Abalone	Time
ER_11_104_1	E	U	11	104	1
ER_11_104_2	E	U	11	104	2
ER_11_104_3	E	U	11	104	3
ER_11_104_4	E	U	11	104	4
ER_12_269_1	E	U	12	269	1
ER_12_269_2	E	U	12	269	2
ER_12_269_3	E	U	12	269	3
ER_12_269_4	E	U	12	269	4
ER_16_42_1	E	U	16	42	1
ER_16_42_2	E	U	16	42	2
ER_16_42_3	E	U	16	42	3
ER_16_42_4	E	U	16	42	4
ER_4_77_1	E	U	4	77	1
ER_4_77_2	E	U	4	77	2
ER_4_77_3	E	U	4	77	3
ER_4_77_4	E	U	4	77	4
ER_5_88_1	E	U	5	88	1
ER_5_88_2	E	U	5	88	2
ER_5_88_3	E	U	5	88	3
ER_5_88_4	E	U	5	88	4
ES_11_158_1	E	S	11	158	1
ES_11_158_2	E	S	11	158	2
ES_11_158_3	E	S	11	158	3
ES_11_158_4	E	S	11	158	4
ES_12_240_1	E	S	12	240	1
ES_12_240_2	E	S	12	240	2
ES_12_240_3	E	S	12	240	3
ES_12_240_4	E	S	12	240	4
ES_16_17_1	E	S	16	17	1
ES_16_17_2	E	S	16	17	2
ES_16_17_3	E	S	16	17	3
ES_16_17_4	E	S	16	17	4
ES_16_187_1	E	S	16	187	1
ES_16_187_2	E	S	16	187	2
ES_16_187_3	E	S	16	187	3
ES_16_187_4	E	S	16	187	4
ES_5_182_1	E	S	5	182	1
ES_5_182_2	E	S	5	182	2
ES_5_182_3	E	S	5	182	3
ES_5_182_4	E	S	5	182	4
ES_5_257_1	E	S	5	257	1
ES_5_257_2	E	S	5	257	2
ES_5_257_3	E	S	5	257	3
ES_5_257_4	E	S	5	257	4
FR_11_131_1	F	U	11	131	1
FR_11_131_2	F	U	11	131	2
FR_11_131_3	F	U	11	131	3
FR_11_131_4	F	U	11	131	4
FR_12_274_2	F	U	12	274	2
FR_12_274_3	F	U	12	274	3
FR_12_274_4	F	U	12	274	4
FR_14_520_1	F	U	14	520	1
FR_14_520_2	F	U	14	520	2
FR_14_520_3	F	U	14	520	3
FR_14_520_4	F	U	14	520	4
FR_16_468_1	F	U	16	468	1
FR_16_468_2	F	U	16	468	2
FR_16_468_3	F	U	16	468	3
FR_16_468_4	F	U	16	468	4
FR_5_588_1	F	U	5	588	1
FR_5_588_2	F	U	5	588	2
FR_5_588_3	F	U	5	588	3
FR_5_588_4	F	U	5	588	4
FS_11_114_1	F	S	11	114	1
FS_11_114_2	F	S	11	114	2
FS_11_114_3	F	S	11	114	3
FS_11_114_4	F	S	11	114	4
FS_12_279_1	F	S	12	279	1
FS_12_279_2	F	S	12	279	2
FS_12_279_3	F	S	12	279	3
FS_12_279_4	F	S	12	279	4
FS_14_135_1	F	S	14	135	1
FS_14_135_2	F	S	14	135	2
FS_14_135_3	F	S	14	135	3
FS_14_135_4	F	S	14	135	4
FS_14_412_1	F	S	14	412	1
FS_14_412_2	F	S	14	412	2
FS_14_412_3	F	S	14	412	3
FS_14_412_4	F	S	14	412	4
FS_16_203_1	F	S	16	203	1
FS_16_203_2	F	S	16	203	2
FS_16_203_3	F	S	16	203	3
FS_16_203_4	F	S	16	203	4
FS_16_487_1	F	S	16	487	1
FS_16_487_2	F	S	16	487	2
FS_16_487_3	F	S	16	487	3
FS_16_487_4	F	S	16	487	4
SR_14_717_1	S	U	14	717	1
SR_14_717_2	S	U	14	717	2
SR_14_717_3	S	U	14	717	3
SR_14_717_4	S	U	14	717	4
SR_16_832_2	S	U	16	832	2
SR_16_832_3	S	U	16	832	3
SR_16_832_4	S	U	16	832	4
SR_16_879_1	S	U	16	879	1
SR_16_879_2	S	U	16	879	2
SR_16_879_3	S	U	16	879	3
SR_16_879_4	S	U	16	879	4
SR_4_721_1	S	U	4	721	1
SR_4_721_2	S	U	4	721	2
SR_4_721_3	S	U	4	721	3
SR_4_721_4	S	U	4	721	4
SR_4_877_1	S	U	4	877	1
SR_4_877_2	S	U	4	877	2
SR_4_877_3	S	U	4	877	3
SR_4_877_4	S	U	4	877	4
SR_5_349_1	S	U	5	349	1
SR_5_349_2	S	U	5	349	2
SR_5_349_3	S	U	5	349	3
SR_5_349_4	S	U	5	349	4
SR_5_356_1	S	U	5	356	1
SR_5_356_2	S	U	5	356	2
SR_5_356_3	S	U	5	356	3
SR_5_356_4	S	U	5	356	4
SR_5_373_1	S	U	5	373	1
SR_5_373_2	S	U	5	373	2
SR_5_373_3	S	U	5	373	3
SR_5_373_4	S	U	5	373	4
SS_14_849_1	S	S	14	849	1
SS_14_849_2	S	S	14	849	2
SS_14_849_3	S	S	14	849	3
SS_14_849_4	S	S	14	849	4
SS_16_759_1	S	S	16	759	1
SS_16_759_2	S	S	16	759	2
SS_16_759_3	S	S	16	759	3
SS_16_759_4	S	S	16	759	4
SS_4_316_1	S	S	4	316	1
SS_4_316_2	S	S	4	316	2
SS_4_316_4	S	S	4	316	4
SS_4_731_1	S	S	4	731	1
SS_4_731_2	S	S	4	731	2
SS_4_731_3	S	S	4	731	3
SS_4_731_4	S	S	4	731	4
SS_5_345_1	S	S	5	345	1
SS_5_345_2	S	S	5	345	2
SS_5_345_3	S	S	5	345	3
SS_5_345_4	S	S	5	345	4
SS_5_749_1	S	S	5	749	1
SS_5_749_2	S	S	5	749	2
SS_5_749_3	S	S	5	749	3
SS_5_749_4	S	S	5	749	4
SS_5_859_1	S	S	5	859	1
SS_5_859_2	S	S	5	859	2
SS_5_859_3	S	S	5	859	3
SS_5_859_4	S	S	5	859	4
